"Davis Lane Solar, LLC",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
Timestamp,POA*,"SMA SC-1850CP Inverter 1, Active power","SMA SC-1850CP Inverter 2, Active power","SMA SC-1850CP Inverter 3, Active power",Production meter active power
,W/m²,kW,kW,kW,kW
2023-09-01 00:00:00,0,0,0,0,-10.26389
2023-09-01 01:00:00,0,0,0,0,-10.11133
2023-09-01 02:00:00,0,0,0,0,-10.1675
2023-09-01 03:00:00,0,0,0,0,-10.24712
2023-09-01 04:00:00,0,0,0,0,-10.28104
2023-09-01 05:00:00,0,0,0,0,-10.27573
2023-09-01 06:00:00,2.251395,5.120138,4.924166,5.253749,5.539797
2023-09-01 07:00:00,106.8776,155.1538,155.4676,152.9645,453.9055
2023-09-01 08:00:00,350.6045,600.8533,609.2899,611.1002,1804.734
2023-09-01 09:00:00,587.0877,1061.715,1077.641,1091.603,3200.664
2023-09-01 10:00:00,817.9099,1436.046,1457.817,1477.291,4319.994
2023-09-01 11:00:00,798.5634,1266.02,1262.983,1295.16,3778.062
2023-09-01 12:00:00,997.1577,1482.981,1516.137,1538.529,4486.756
2023-09-01 13:00:00,1021.529,1376.731,1425.48,1433.72,4188.19
2023-09-01 14:00:00,738.285,1186.76,1213.589,1145.572,3505.194
2023-09-01 15:00:00,725.7369,1282.702,1329.917,1269.422,3838.824
2023-09-01 16:00:00,624.4141,1092.06,1097.146,1123.811,3280.713
2023-09-01 17:00:00,377.3314,628.4032,656.5059,639.1957,1906.413
2023-09-01 18:00:00,145.9875,198.8861,214.7199,206.4624,609.4274
2023-09-01 19:00:00,9.420762,11.50096,11.72307,11.97154,26.05985
2023-09-01 20:00:00,0,0,0,0,-10.2233
2023-09-01 21:00:00,0,0,0,0,-10.41221
2023-09-01 22:00:00,0,0,0,0,-10.49234
2023-09-01 23:00:00,0,0,0,0,-10.17985
2023-09-02 00:00:00,0,0,0,0,-10.41683
2023-09-02 01:00:00,0,0,0,0,-10.18682
2023-09-02 02:00:00,0,0,0,0,-10.1745
2023-09-02 03:00:00,0,0,0,0,-10.20324
2023-09-02 04:00:00,0,0,0,0,-10.21181
2023-09-02 05:00:00,0,0,0,0,-10.17556
2023-09-02 06:00:00,3.007046,7.586066,7.469961,7.799048,13.17731
2023-09-02 07:00:00,100.8786,158.7622,161.5607,160.4332,470.6158
2023-09-02 08:00:00,343.887,610.86,621.1469,619.7861,1834.777
2023-09-02 09:00:00,583.2635,1082.232,1104.458,1113.876,3271.119
2023-09-02 10:00:00,714.1152,1393.599,1356.264,1363.443,4068.921
2023-09-02 11:00:00,956.1917,1627.719,1647.995,1642.306,4861.439
2023-09-02 12:00:00,1020.098,1598.824,1599.298,1639.824,4781.624
2023-09-02 13:00:00,1043.521,1664.392,1665.698,1665.78,4935.336
2023-09-02 14:00:00,972.5168,1619.598,1641.265,1651.427,4853.212
2023-09-02 15:00:00,828.3334,1396.192,1439.117,1454.865,4242.639
2023-09-02 16:00:00,626.7064,1058.431,1103.275,1103.757,3232.824
2023-09-02 17:00:00,386.2354,612.0763,662.0563,657.4879,1913.246
2023-09-02 18:00:00,148.2496,182.9348,206.8865,201.1743,580.5493
2023-09-02 19:00:00,8.263137,10.54884,10.79355,23.15619,23.02906
2023-09-02 20:00:00,0,0,0,20,-10.19414
2023-09-02 21:00:00,0,0,0,20,-10.2562
2023-09-02 22:00:00,0,0,0,20,-10.43493
2023-09-02 23:00:00,0,0,0,20,-10.19489
2023-09-03 00:00:00,0,0,0,20,-10.22841
2023-09-03 01:00:00,0,0,0,7.86111,-10.23817
2023-09-03 02:00:00,0,0,0,0,-10.28206
2023-09-03 03:00:00,0,0,0,0,-10.28099
2023-09-03 04:00:00,0,0,0,0,-10.23383
2023-09-03 05:00:00,0,0,0,0,-10.20853
2023-09-03 06:00:00,4.877,6.878117,6.720185,6.995742,10.76755
2023-09-03 07:00:00,106.8463,149.0622,149.9755,147.293,436.8632
2023-09-03 08:00:00,321.9487,566.2903,577.0635,576.5153,1704.51
2023-09-03 09:00:00,556.9243,1005.864,1026.387,1033.722,3037.406
2023-09-03 10:00:00,769.8215,1344.447,1375.786,1388.417,4065.347
2023-09-03 11:00:00,923.6481,1560.548,1596.362,1614.08,4715.652
2023-09-03 12:00:00,1005.008,1660.687,1666.112,1665.652,4931.602
2023-09-03 13:00:00,1011.997,1661.486,1665.573,1665.657,4931.59
2023-09-03 14:00:00,944.1571,1569.27,1605.781,1620.327,4736.945
2023-09-03 15:00:00,802.0964,1346.269,1387.771,1399.912,4087.804
2023-09-03 16:00:00,605.1696,1015.416,1058.715,1057.751,3100.669
2023-09-03 17:00:00,367.5552,577.2629,623.9275,619.707,1803.216
2023-09-03 18:00:00,135.2831,169.3777,190.0472,185.3703,534.5173
2023-09-03 19:00:00,6.60104,9.878251,9.765785,10.27481,20.23466
2023-09-03 20:00:00,0,0,0,0,-10.07293
2023-09-03 21:00:00,0,0,0,0,-10.09451
2023-09-03 22:00:00,0,0,0,0,-10.1712
2023-09-03 23:00:00,0,0,0,0,-10.19183
2023-09-04 00:00:00,0,0,0,0,-10.16108
2023-09-04 01:00:00,0,0,0,0,-10.19938
2023-09-04 02:00:00,0,0,0,0,-10.24828
2023-09-04 03:00:00,0,0,0,0,-10.20813
2023-09-04 04:00:00,0,0,0,0,-10.27279
2023-09-04 05:00:00,0,0,0,0,-10.33928
2023-09-04 06:00:00,3.435113,4.239034,3.515778,4.383291,1.909047
2023-09-04 07:00:00,89.44105,134.9632,136.041,134.0866,395.4391
2023-09-04 08:00:00,301.9622,526.9408,537.1239,537.0975,1585.544
2023-09-04 09:00:00,530.4738,940.4563,958.3157,961.3992,2833.065
2023-09-04 10:00:00,728.3525,1247.089,1273.04,1284.38,3765.702
2023-09-04 11:00:00,885.3505,1479.046,1507.465,1523.561,4458.182
2023-09-04 12:00:00,949.5502,1564.223,1594.895,1610.041,4710.947
2023-09-04 13:00:00,964.7436,1581.316,1614.001,1624.8,4759.417
2023-09-04 14:00:00,906.6284,1485.281,1520.364,1541.795,4492.935
2023-09-04 15:00:00,778.6797,1270.029,1315.809,1326.014,3866.944
2023-09-04 16:00:00,492.1648,813.4473,849.2611,843.8392,2480.255
2023-09-04 17:00:00,302.3103,467.373,500.0347,498.8458,1449.708
2023-09-04 18:00:00,65.25347,104.3051,106.2277,105.0713,306.5363
2023-09-04 19:00:00,4.709674,6.766738,6.604633,6.959912,11.12297
2023-09-04 20:00:00,0,0,0,0,-10.13684
2023-09-04 21:00:00,0,0,0,0,-10.33573
2023-09-04 22:00:00,0,0,0,0,-10.21402
2023-09-04 23:00:00,0,0,0,0,-10.25523
2023-09-05 00:00:00,0,0,0,0,-10.0277
2023-09-05 01:00:00,0,0,0,0,-10.02145
2023-09-05 02:00:00,0,0,0,0,-10.0202
2023-09-05 03:00:00,0,0,0,0,-10.07121
2023-09-05 04:00:00,0,0,0,0,-10.08907
2023-09-05 05:00:00,0,0,0,0,-10.11246
2023-09-05 06:00:00,3.319676,3.793417,3.480513,0,1.184012
2023-09-05 07:00:00,97.62261,135.3923,136.3952,0,395.8442
2023-09-05 08:00:00,315.6362,551.8928,563.2061,0,1663.319
2023-09-05 09:00:00,553.004,976.4754,995.5683,0,2949.565
2023-09-05 10:00:00,747.0978,1287.363,1313.858,0,3890.083
2023-09-05 11:00:00,893.6954,1488.342,1521.744,0,4498.291
2023-09-05 12:00:00,979.1665,1541.963,1588.141,0,4671.242
2023-09-05 13:00:00,980.0049,1565.49,1577.314,0,4688.471
2023-09-05 14:00:00,714.4883,1071.553,1139.588,0,3337.978
2023-09-05 15:00:00,626.7753,1111.241,1142.77,0,3299.123
2023-09-05 16:00:00,614.1313,1014.112,1058.675,0,3085.934
2023-09-05 17:00:00,319.1769,512.3172,525.5662,0,1537.678
2023-09-05 18:00:00,104.7233,138.1948,150.6712,0,426.9062
2023-09-05 19:00:00,4.826901,7.172423,7.130479,0,12.29984
2023-09-05 20:00:00,0,0,0,0,-10.02414
2023-09-05 21:00:00,0,0,0,0,-9.885335
2023-09-05 22:00:00,0,0,0,0,-10.02455
2023-09-05 23:00:00,0,0,0,0,-10.20142
2023-09-06 00:00:00,0,0,0,0,-10.14093
2023-09-06 01:00:00,0,0,0,0,-10.17056
2023-09-06 02:00:00,0,0,0,0,-10.25073
2023-09-06 03:00:00,0,0,0,0,-10.24747
2023-09-06 04:00:00,0,0,0,0,-10.3286
2023-09-06 05:00:00,0,0,0,0,-10.19858
2023-09-06 06:00:00,2.721488,2.549177,2.445289,0,-2.973345
2023-09-06 07:00:00,98.27371,138.171,140.2348,0,407.581
2023-09-06 08:00:00,289.4172,510.6778,522.1926,0,1539.833
2023-09-06 09:00:00,522.8776,914.647,935.3605,0,2764.597
2023-09-06 10:00:00,738.4467,1259.897,1288.781,0,3809.529
2023-09-06 11:00:00,872.387,1352.444,1424.751,0,4198.378
2023-09-06 12:00:00,747.5273,1200.377,1189.801,0,3538.76
2023-09-06 13:00:00,784.1464,1157.565,1235.431,0,3632.973
2023-09-06 14:00:00,824.8915,1370.708,1389.293,0,4067.254
2023-09-06 15:00:00,575.3762,947.5483,1005.161,0,2958.492
2023-09-06 16:00:00,494.6635,842.6265,841.7083,0,2555.814
2023-09-06 17:00:00,333.1165,511.3356,552.9793,0,1596.805
2023-09-06 18:00:00,115.1911,149.8227,164.4553,8.355847,465.4633
2023-09-06 19:00:00,3.998511,7.771314,7.822486,7.989153,14.20385
2023-09-06 20:00:00,0,0,0,0,-10.12517
2023-09-06 21:00:00,0,0,0,0,-10.27687
2023-09-06 22:00:00,0.02298486,0,0,0,-10.27246
2023-09-06 23:00:00,0,0,0,0,-10.3118
2023-09-07 00:00:00,0,0,0,0,-10.29799
2023-09-07 01:00:00,0,0,0,0,-10.15606
2023-09-07 02:00:00,0,0,0,0,-10.12858
2023-09-07 03:00:00,0,0,0,0,-10.15356
2023-09-07 04:00:00,0,0,0,0,-10.11539
2023-09-07 05:00:00,0,0,0,0,-10.14409
2023-09-07 06:00:00,1.661989,0.678257,0.1184222,1.068255,-8.2461
2023-09-07 07:00:00,64.34769,96.26542,96.7579,89.99724,273.4418
2023-09-07 08:00:00,239.3481,426.716,432.1527,428.2248,1273.319
2023-09-07 09:00:00,526.3069,914.0917,932.7004,785.2559,2579.584
2023-09-07 10:00:00,607.1757,1027.454,1053.299,1071.445,3120.837
2023-09-07 11:00:00,863.6544,1435.198,1468.462,1484.558,4338.087
2023-09-07 12:00:00,971.9008,1591.347,1627.337,1642.247,4801.321
2023-09-07 13:00:00,958.3248,1558.565,1600.019,1618.543,4718.136
2023-09-07 14:00:00,915.0562,1495.635,1532.776,1546.115,4519.536
2023-09-07 15:00:00,784.0834,1287.4,1328.259,1160.688,3685.097
2023-09-07 16:00:00,563.5121,874.9487,938.2611,947.7729,2733.665
2023-09-07 17:00:00,264.2958,408.692,421.3246,435.7435,1251.627
2023-09-07 18:00:00,103.2159,133.0954,144.6384,143.6331,411.6341
2023-09-07 19:00:00,2.217384,3.294527,3.136578,3.422305,-0.01170375
2023-09-07 20:00:00,0,0,0,0,-10.05811
2023-09-07 21:00:00,0,0,0,0,-10.13206
2023-09-07 22:00:00,0,0,0,0,-10.14295
2023-09-07 23:00:00,0,0,0,0,-10.1871
2023-09-08 00:00:00,0,0,0,0,-10.20324
2023-09-08 01:00:00,0,0,0,0,-10.31573
2023-09-08 02:00:00,0,0,0,0,-10.23767
2023-09-08 03:00:00,0,0,0,0,-10.32673
2023-09-08 04:00:00,0,0,0,0,-10.26207
2023-09-08 05:00:00,0,0,0,0,-10.17532
2023-09-08 06:00:00,1.731681,1.615418,1.554371,1.616385,-5.786157
2023-09-08 07:00:00,53.41826,89.26978,88.65032,87.46499,255.6588
2023-09-08 08:00:00,141.9514,232.7816,244.4008,248.8923,714.9368
2023-09-08 09:00:00,439.1224,638.9175,680.992,725.3322,2025.859
2023-09-08 10:00:00,756.1949,1262.545,1285.441,1370.538,3874.914
2023-09-08 11:00:00,938.4396,1480.456,1532.908,1567.505,4524.041
2023-09-08 12:00:00,1025.044,1608.685,1654.649,1629.477,4833.59
2023-09-08 13:00:00,683.2142,1086.488,1022.163,1100.656,3171.663
2023-09-08 14:00:00,878.3101,1359.94,1428.959,1460.209,4197.866
2023-09-08 15:00:00,239.4523,454.6719,412.8599,437.6436,1288.376
2023-09-08 16:00:00,42.44968,69.41419,68.85904,68.6128,197.2509
2023-09-08 17:00:00,11.5452,13.24799,12.34464,13.14413,30.13178
2023-09-08 18:00:00,2.497786,0.4477065,0.2335528,0.4075805,-8.98689
2023-09-08 19:00:00,0,0,0,0,-10.13607
2023-09-08 20:00:00,0,0,0,0,-10.12339
2023-09-08 21:00:00,0,0,0,0,-10.10791
2023-09-08 22:00:00,0,0,0,0,-10.10246
2023-09-08 23:00:00,0,0,0,0,-10.07532
2023-09-09 00:00:00,0,0,0,0,-10.01966
2023-09-09 01:00:00,0,0,0,0,-9.980927
2023-09-09 02:00:00,0,0,0,0,-10.06949
2023-09-09 03:00:00,0,0,0,0,-10.12447
2023-09-09 04:00:00,0,0,0,0,-10.07674
2023-09-09 05:00:00,0,0,0,0,-10.02378
2023-09-09 06:00:00,1.79592,1.423594,1.327739,1.432806,-5.710754
2023-09-09 07:00:00,58.94434,97.06143,97.82201,98.82957,284.3995
2023-09-09 08:00:00,226.7297,390.4571,398.2233,398.6605,1174.006
2023-09-09 09:00:00,561.1595,982.3758,1007.642,986.0256,2945.83
2023-09-09 10:00:00,629.3312,1046.964,1059.113,1089.816,3159.844
2023-09-09 11:00:00,220.2393,398.3911,404.4909,404.7043,1193.571
2023-09-09 12:00:00,863.051,1410.777,1406.046,1387.189,4155.444
2023-09-09 13:00:00,858.7466,1319.251,1312.52,1369.515,3955.946
2023-09-09 14:00:00,382.3146,632.1431,630.4743,586.4352,1823.22
2023-09-09 15:00:00,387.9007,660.1087,684.4252,691.7258,2013.554
2023-09-09 16:00:00,230.5963,394.8841,408.0562,419.2617,1208.248
2023-09-09 17:00:00,92.17004,160.9991,165.3772,166.0269,482.0666
2023-09-09 18:00:00,26.23857,38.72795,38.79198,39.46667,107.6334
2023-09-09 19:00:00,0.265521,0,0,0,-9.983468
2023-09-09 20:00:00,0,0,0,0,-9.997137
2023-09-09 21:00:00,0,0,0,0,-9.997361
2023-09-09 22:00:00,0,0,0,0,-10.09308
2023-09-09 23:00:00,0,0,0,0,-10.14769
2023-09-10 00:00:00,0,0,0,0,-10.14347
2023-09-10 01:00:00,0,0,0,0,-10.27447
2023-09-10 02:00:00,0,0,0,0,-10.17117
2023-09-10 03:00:00,0,0,0,0,-10.08968
2023-09-10 04:00:00,0,0,0,0,-10.07736
2023-09-10 05:00:00,0,0,0,0,-10.05435
2023-09-10 06:00:00,1.097568,0.5973025,0.4952193,0.549402,-8.284518
2023-09-10 07:00:00,49.28811,81.04448,82.54533,83.89323,237.951
2023-09-10 08:00:00,84.03073,145.5604,148.2698,150.1134,433.976
2023-09-10 09:00:00,220.0392,385.3893,396.1255,394.4664,1163.117
2023-09-10 10:00:00,546.099,927.9382,936.8561,928.8841,2763.921
2023-09-10 11:00:00,489.6082,904.277,871.3952,862.3597,2609.67
2023-09-10 12:00:00,780.3366,1277.514,1323.439,1319.097,3876.689
2023-09-10 13:00:00,1042.547,1586.099,1601.24,1611.479,4740.613
