Freemont Solar Center,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
Timestamp,POA*,"TMIEC Inverter - A, Active Power P","TMIEC Inverter - B, Active Power P","TMIEC Inverter - C, Active Power P",Production meter active power
,W/m²,kW,kW,kW,kW
2023-09-01 00:00:00,0,,0,0,-9.599999
2023-09-01 01:00:00,0,,0,0,-9.599999
2023-09-01 02:00:00,0,,0,0,-9.599999
2023-09-01 03:00:00,0,,0,0,-9.599999
2023-09-01 04:00:00,0,,0,0,-9.599999
2023-09-01 05:00:00,0,,0,0,-9.599999
2023-09-01 06:00:00,0.1497625,,0,0,-9.599999
2023-09-01 07:00:00,60.33011,,0,0,-9.169999
2023-09-01 08:00:00,280.8444,,237.6443,110.1633,345.6846
2023-09-01 09:00:00,534.2413,,858.3113,831.4144,1687.578
2023-09-01 10:00:00,755.399,,1215.82,1198.444,2406.143
2023-09-01 11:00:00,918.0544,,1457.578,1445.224,2883.526
2023-09-01 12:00:00,1016.417,,1579.088,1577.138,3128.95
2023-09-01 13:00:00,1041.857,,1491.261,1496.958,2958.217
2023-09-01 14:00:00,987.3093,,1547.802,1545.609,3041.667
2023-09-01 15:00:00,862.8837,,1380.75,1390.937,2743.017
2023-09-01 16:00:00,668.2606,,1080.124,1103.614,2156.492
2023-09-01 17:00:00,431.4062,,676.5908,705.9117,1370.946
2023-09-01 18:00:00,188.6455,,244.7198,263.9241,496.2637
2023-09-01 19:00:00,13.03712,,12.27362,12.91221,28.59091
2023-09-01 20:00:00,0,,0,0,-9.599999
2023-09-01 21:00:00,0,,0,0,-9.599999
2023-09-01 22:00:00,0,,0,0,-9.599999
2023-09-01 23:00:00,0,,0,0,-9.599999
2023-09-02 00:00:00,0,,0,0,-9.599999
2023-09-02 01:00:00,0,,0,0,-9.599999
2023-09-02 02:00:00,0,,0,0,-9.599999
2023-09-02 03:00:00,0,,0,0,-9.599999
2023-09-02 04:00:00,0,,0,0,-9.599999
2023-09-02 05:00:00,0,,0,0,-9.599999
2023-09-02 06:00:00,0.001342773,,0,0,-9.599999
2023-09-02 07:00:00,43.61767,,54.91976,50.64423,101.0572
2023-09-02 08:00:00,270.2314,,396.8155,367.7982,762.9617
2023-09-02 09:00:00,415.1316,,685.9459,660.504,1327.876
2023-09-02 10:00:00,753.4583,,1198.661,1182.878,2374.633
2023-09-02 11:00:00,918.6464,,1428.455,1415.075,2825.652
2023-09-02 12:00:00,1019.529,,1548.847,1541.788,3063.925
2023-09-02 13:00:00,1040.942,,1570.333,1568.183,3107.541
2023-09-02 14:00:00,985.3522,,1505.781,1505.647,2979.452
2023-09-02 15:00:00,857.6188,,1352.864,1363.439,2687.156
2023-09-02 16:00:00,663.985,,1060.522,1084.15,2121.26
2023-09-02 17:00:00,428.399,,664.5481,694.897,1345.113
2023-09-02 18:00:00,183.8424,,235.6933,256.9489,480.5512
2023-09-02 19:00:00,18.59955,,19.42018,19.78052,41.26331
2023-09-02 20:00:00,0,,0,0,-9.599999
2023-09-02 21:00:00,0,,0,0,-9.599999
2023-09-02 22:00:00,0,,0,0,-9.349666
2023-09-02 23:00:00,0,,0,0,-9.599999
2023-09-03 00:00:00,0,,0,0,-9.599999
2023-09-03 01:00:00,0,,0,0,-9.599999
2023-09-03 02:00:00,0,,0,0,-9.599999
2023-09-03 03:00:00,0,,0,0,-9.599999
2023-09-03 04:00:00,0,,0,0,-9.599999
2023-09-03 05:00:00,0,,0,0,-9.599999
2023-09-03 06:00:00,0.1148419,,0,0,-9.599999
2023-09-03 07:00:00,62.57116,,58.56786,50.15294,106.5978
2023-09-03 08:00:00,272.3562,,401.0082,367.83,762.6823
2023-09-03 09:00:00,521.8888,,830.6343,804.9659,1629.731
2023-09-03 10:00:00,733.8907,,1166.162,1150.314,2306.993
2023-09-03 11:00:00,892.0358,,1375.247,1364.122,2721.267
2023-09-03 12:00:00,1000.074,,1508.06,1503.861,2984.68
2023-09-03 13:00:00,1027.14,,1532.181,1530.175,3029.226
2023-09-03 14:00:00,961.6715,,1439.298,1441.765,2850.105
2023-09-03 15:00:00,837.1489,,1284.881,1282.25,2531.22
2023-09-03 16:00:00,624.4658,,986.6455,1004.556,1955.843
2023-09-03 17:00:00,345.1554,,545.756,569.8275,1095.835
2023-09-03 18:00:00,172.6073,,221.8155,237.9298,448.9345
2023-09-03 19:00:00,16.56074,,19.52168,20.13812,40.3657
2023-09-03 20:00:00,0,,0,0,-9.599999
2023-09-03 21:00:00,0,,0,0,-9.599999
2023-09-03 22:00:00,0,,0,0,-9.599999
2023-09-03 23:00:00,0,,0,0,-9.599999
2023-09-04 00:00:00,0,,0,0,-9.599999
2023-09-04 01:00:00,0,,0,0,-9.599999
2023-09-04 02:00:00,0,,0,0,-9.599999
2023-09-04 03:00:00,0,,0,0,-9.599999
2023-09-04 04:00:00,0,,0,0,-9.599999
2023-09-04 05:00:00,0,,0,0,-9.599999
2023-09-04 06:00:00,0.05637101,,0,0,-9.599999
2023-09-04 07:00:00,57.15683,,56.66841,51.31966,100.0802
2023-09-04 08:00:00,257.8843,,379.3632,349.0303,720.0105
2023-09-04 09:00:00,505.0826,,798.4613,773.917,1568.174
2023-09-04 10:00:00,719.829,,1138.303,1123.361,2249.791
2023-09-04 11:00:00,885.6309,,1379.097,1368.849,2726.48
2023-09-04 12:00:00,982.949,,1456.643,1461.412,2832.412
2023-09-04 13:00:00,889.1577,,1361.179,1387.659,2739.636
2023-09-04 14:00:00,925.7514,,1419.542,1443.858,2841.492
2023-09-04 15:00:00,829.1469,,1271.385,1282.278,2528.539
2023-09-04 16:00:00,640.9996,,1000.773,1023.124,2002.548
2023-09-04 17:00:00,407.1346,,620.8978,649.7856,1257.961
2023-09-04 18:00:00,170.6015,,217.5082,236.4545,442.8684
2023-09-04 19:00:00,15.50114,,16.75006,17.36973,35.51147
2023-09-04 20:00:00,0,,0,0,-9.599999
2023-09-04 21:00:00,0,,0,0,-9.599999
2023-09-04 22:00:00,0,,0,0,-9.599999
2023-09-04 23:00:00,0,,0,0,-9.599999
2023-09-05 00:00:00,0,,0,0,-9.599999
2023-09-05 01:00:00,0,,0,0,-9.599999
2023-09-05 02:00:00,0,,0,0,-9.599999
2023-09-05 03:00:00,0,,0,0,-9.599999
2023-09-05 04:00:00,0,,0,0,-9.599999
2023-09-05 05:00:00,0,,0,0,-9.599999
2023-09-05 06:00:00,0.04052541,,0,0,-9.599999
2023-09-05 07:00:00,51.71114,,48.65126,46.65758,88.47382
2023-09-05 08:00:00,250.9554,,357.2362,343.8817,704.6191
2023-09-05 09:00:00,519.6197,,802.0189,789.5502,1615.651
2023-09-05 10:00:00,720.1345,,1147.441,1115.502,2244.473
2023-09-05 11:00:00,876.5367,,1348.16,1339.649,2669.053
2023-09-05 12:00:00,975.5578,,1475.682,1472.788,2921.249
2023-09-05 13:00:00,1008.157,,1497.153,1498.017,2964.093
2023-09-05 14:00:00,932.1791,,1399.733,1401.562,2765.129
2023-09-05 15:00:00,823.7966,,1260.21,1270.576,2507.794
2023-09-05 16:00:00,633.1436,,989.7252,1012.218,1981.58
2023-09-05 17:00:00,400.1933,,608.7048,637.43,1230.547
2023-09-05 18:00:00,165.999,,211.039,229.5183,427.7766
2023-09-05 19:00:00,8.81059,,7.3489,7.083827,16.51571
2023-09-05 20:00:00,0,,0,0,-9.599999
2023-09-05 21:00:00,0,,0,0,-9.599999
2023-09-05 22:00:00,0,,0,0,-9.599999
2023-09-05 23:00:00,0,,0,0,-9.599999
2023-09-06 00:00:00,0,,0,0,-9.599999
2023-09-06 01:00:00,0,,0,0,-9.599999
2023-09-06 02:00:00,0,,0,0,-9.599999
2023-09-06 03:00:00,0,,0,0,-9.599999
2023-09-06 04:00:00,0,,0,0,-9.599999
2023-09-06 05:00:00,0,,0,0,-9.279999
2023-09-06 06:00:00,0.01176089,,0,0,-8.996015
2023-09-06 07:00:00,52.85152,,51.69247,45.18587,89.7394
2023-09-06 08:00:00,247.8401,,363.8949,334.4378,690.838
2023-09-06 09:00:00,488.7979,,770.4116,746.3534,1512.658
2023-09-06 10:00:00,707.8505,,1111.77,1097.307,2199.577
2023-09-06 11:00:00,869.2988,,1332.242,1324.758,2637.054
2023-09-06 12:00:00,971.3837,,1433.008,1428.95,2834.716
2023-09-06 13:00:00,1016.88,,1467.881,1448.831,2876.473
2023-09-06 14:00:00,944.0342,,1287.89,1255.842,2507.016
2023-09-06 15:00:00,287.0365,,363.4842,360.1605,773.9649
2023-09-06 16:00:00,501.8548,,742.0656,813.3552,1567.828
2023-09-06 17:00:00,370.1075,,564.739,573.3959,1110.072
2023-09-06 18:00:00,142.0368,,175.0432,182.5981,351.452
