Schell Solar Farm,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
Timestamp,POA*,"SMA Kodiak SC-1850 - A1, AC Real Power","SMA Kodiak SC-1850 - B1, AC Real Power","SMA Kodiak SC-1850 - C1, AC Real Power",Production meter active power
,W/m²,kW,kW,kW,kW
2023-09-01 00:00:00,0,0,0,0,-7.249145
2023-09-01 01:00:00,0,0,0,0,-7.255898
2023-09-01 02:00:00,0,0,0,0,-7.308467
2023-09-01 03:00:00,0,0,0,0,-7.338951
2023-09-01 04:00:00,0,0,0,0,-7.33137
2023-09-01 05:00:00,0,0,0,0,-7.268197
2023-09-01 06:00:00,3.348056,3.5,3.5,2.75,2.327812
2023-09-01 07:00:00,74.64148,131.25,143.5,127.5,392.239
2023-09-01 08:00:00,304.5129,558.25,604.5,534.25,1675.113
2023-09-01 09:00:00,557.0972,1028.5,1113.25,985,3088.806
2023-09-01 10:00:00,770.6403,1381,1496,1327.75,4152.048
2023-09-01 11:00:00,920.8644,1597.75,1664.75,1594,4823.459
2023-09-01 12:00:00,925.9127,1448,1423.5,1416.25,4049.374
2023-09-01 13:00:00,950.0844,1507.25,1547,1565.75,4632.049
2023-09-01 14:00:00,967.6722,1620.75,1617.75,1572,4785.305
2023-09-01 15:00:00,838.3077,1443.25,1562.75,1384.25,4334.94
2023-09-01 16:00:00,640.7448,1111.5,1215,1079,3373.342
2023-09-01 17:00:00,405.4908,703.5,761.25,672,2120.511
2023-09-01 18:00:00,166.4451,243.5,262.5,219.75,723.3611
2023-09-01 19:00:00,10.30028,16.75,17.75,13.25,43.64092
2023-09-01 20:00:00,0,0,0,0,-7.053999
2023-09-01 21:00:00,0,0,0,0,-7.133171
2023-09-01 22:00:00,0,0,0,0,-7.180127
2023-09-01 23:00:00,0,0,0,0,-7.199062
2023-09-02 00:00:00,0,0,0,0,-7.258046
2023-09-02 01:00:00,0,0,0,0,-7.283706
2023-09-02 02:00:00,0,0,0,0,-7.34618
2023-09-02 03:00:00,0,0,0,0,-7.375784
2023-09-02 04:00:00,0,0,0,0,-7.341528
2023-09-02 05:00:00,0,0,0,0,-7.309157
2023-09-02 06:00:00,5.052931,4.25,4.25,4,5.228487
2023-09-02 07:00:00,74.03839,133.5,145.75,129.5,399.5167
2023-09-02 08:00:00,291.3094,544.75,588.75,518.75,1592.5
2023-09-02 09:00:00,547.8652,1009.5,1091.75,965.25,3015.565
2023-09-02 10:00:00,760.4346,1360.75,1476.25,1308.5,4092.948
2023-09-02 11:00:00,919.4442,1593,1662,1528.75,4716.685
2023-09-02 12:00:00,1011.628,1665.5,1665.5,1643.75,4904.784
2023-09-02 13:00:00,1023.489,1666,1665.5,1640,4900.098
2023-09-02 14:00:00,958.5281,1602.25,1665.5,1542.75,4742.759
2023-09-02 15:00:00,827.5726,1406.5,1526,1351.25,4229.69
2023-09-02 16:00:00,630.1667,1099,1192,1055.75,3311.005
