NC Solar II,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Timestamp,POA,"SMA Inverter - A, Total AC Active Power","SMA Inverter - B, Total AC Active Power","SMA Inverter - C, Total AC Active Power","SMA Inverter - D, Total AC Active Power",Production meter active power
,W/m²,kW,kW,kW,kW,kW
2023-11-01 00:00:00,0.1048611,0,0,0,0,-1.530417
2023-11-01 01:00:00,0.3544421,0,0,0,0,-1.552921
2023-11-01 02:00:00,0.4372912,0,0,0,0,-1.530833
2023-11-01 03:00:00,0.1468052,0,0,0,0,-1.542479
2023-11-01 04:00:00,3.240742e-06,0,0,0,0,-1.16473
2023-11-01 05:00:00,0.3104166,0,0,0,0,-1.176414
2023-11-01 06:00:00,0.1059028,0,0,0,0,-0.9803061
2023-11-01 07:00:00,3.693689,0.5704716,0.79478,0,0,-1.670423
2023-11-01 08:00:00,177.3097,,,,,-0.750001
2023-11-01 09:00:00,421.5753,,,,,-0.3335173
2023-11-01 10:00:00,,,,,,
2023-11-01 11:00:00,,,,,,
2023-11-01 12:00:00,,,,,,
2023-11-01 13:00:00,,,,,,
2023-11-01 14:00:00,,,,,,
2023-11-01 15:00:00,,,,,,
2023-11-01 16:00:00,301.8813,,,,,-1
2023-11-01 17:00:00,198.9507,,,,,-1
2023-11-01 18:00:00,21.29597,,,,,-1
2023-11-01 19:00:00,0,,,,,-1
2023-11-01 20:00:00,0,,,,,-1
2023-11-01 21:00:00,0.2083333,,,,,-1
2023-11-01 22:00:00,0,,,,,-1
2023-11-01 23:00:00,0,,,,,-1
2023-11-02 00:00:00,0.2916667,,,,,-1
2023-11-02 01:00:00,0,,,,,-1
2023-11-02 02:00:00,0,,,,,-1
2023-11-02 03:00:00,0.2083333,,,,,-1
2023-11-02 04:00:00,0,,,,,-1
2023-11-02 05:00:00,0,,,,,-1
2023-11-02 06:00:00,0.5,,,,,-1
2023-11-02 07:00:00,2.3125,,,,,-1
2023-11-02 08:00:00,106.2928,,,,,-1
2023-11-02 09:00:00,452.4428,,,,,-1
2023-11-02 10:00:00,650.161,,,,,-1
2023-11-02 11:00:00,790.8857,,,,,-1
2023-11-02 12:00:00,860.7803,,,,,-1
2023-11-02 13:00:00,856.086,,,,,-1
2023-11-02 14:00:00,777.68,410.4589,381.3174,366.529,296.6488,1255.389
2023-11-02 15:00:00,630.7377,354.3494,326.3414,343.417,268.2562,1229.044
2023-11-02 16:00:00,430.5266,237.4326,220.7943,231.1116,177.731,583.0446
2023-11-02 17:00:00,195.9459,62.78706,59.6329,60.97328,47.67577,150.9317
2023-11-02 18:00:00,21.14643,1.947311,1.705839,1.514128,1.012327,2.387168
2023-11-02 19:00:00,0.325375,0,0,0,0,-1.487083
2023-11-02 20:00:00,0,0,0,0,0,-1.416208
2023-11-02 21:00:00,0.2086805,0,0,0,0,-1.431057
2023-11-02 22:00:00,0.3733332,0,0,0,0,-1.461446
2023-11-02 23:00:00,0.25,0,0,0,0,-1.147366
2023-11-03 00:00:00,0,0,0,0,0,-1.511253
2023-11-03 01:00:00,0.1048588,0,0,0,0,-1.5275
2023-11-03 02:00:00,0.3745857,0,0,0,0,-1.532917
2023-11-03 03:00:00,0,0,0,0,0,-1.525415
2023-11-03 04:00:00,0,0,0,0,0,-1.88168
2023-11-03 05:00:00,0.2083333,0,0,0,0,-1.867075
2023-11-03 06:00:00,0.3359699,0,0,0,0,0.1547667
2023-11-03 07:00:00,2.497505,0.1012271,0.3092507,0.394088,0.1429275,-0.4765926
2023-11-03 08:00:00,183.7104,60.6263,48.37557,36.72237,29.62412,158.0877
2023-11-03 09:00:00,461.9568,235.5557,212.2345,231.259,177.4218,687.6923
2023-11-03 10:00:00,658.5701,358.3293,330.7505,353.9805,275.1211,913.822
2023-11-03 11:00:00,797.2703,432.4792,398.0995,423.6305,333.0519,1089.358
2023-11-03 12:00:00,868.8397,465.8395,426.5927,453.9713,357.5792,1160.319
2023-11-03 13:00:00,859.2464,460.4198,422.881,449.363,355.1901,1279.757
