S. Robeson Solar,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
Timestamp,POA*,"SMA Inverter - A.1, Pac","SMA Inverter - A.2, Pac","SMA Inverter - B.1, Pac","SMA Inverter - B.2, Pac","SMA Inverter - C.1, Pac","SMA Inverter - C.2, Pac","SMA Inverter - D.1, Pac","SMA Inverter - D.2, Pac","SMA Inverter - E.1, Pac","SMA Inverter - E.2, Pac",Production meter active power
,W/m²,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW
2024-01-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,-10.0349
2024-01-01 01:00:00,0,0,0,0,0,0,0,0,0,0,0,-10.05705
2024-01-01 02:00:00,0,0,0,0,0,0,0,0,0,0,0,-10.07508
2024-01-01 03:00:00,0,0,0,0,0,0,0,0,0,0,0,-10.06283
2024-01-01 04:00:00,0,0,0,0,0,0,0,0,0,0,0,-9.981318
2024-01-01 05:00:00,0,0,0,0,0,0,0,0,0,0,0,-9.945783
2024-01-01 06:00:00,0,0,0,0,0,0,0,0,0,0,0,-9.940575
2024-01-01 07:00:00,15.99597,3.798615,3.242444,3.941878,4.271318,4.419959,4.3115,2.032173,2.305726,4.71279,2.145819,22.76967
2024-01-01 08:00:00,136.5314,59.30862,52.18865,59.51958,63.77689,59.56276,61.22793,45.04834,43.26711,61.08897,43.75749,530.1963
2024-01-01 09:00:00,307.2034,160.752,141.5629,157.1986,167.5813,162.1126,174.0924,126.5626,125.2038,153.65,117.7693,1456.764
2024-01-01 10:00:00,346.9073,178.5641,155.0413,177.4398,183.3778,171.3612,179.4172,133.3404,130.5525,173.0904,132.7973,1583.27
2024-01-01 11:00:00,359.9751,182.8063,164.3727,184.1846,193.9119,185.1533,195.5644,142.3853,140.9268,191.2781,144.9684,1668.179
2024-01-01 12:00:00,513.4229,259.0829,221.5073,248.3485,255.1723,251.6352,272.7396,199.2859,200.1635,246.5323,185.3802,2274.506
2024-01-01 13:00:00,325.4391,147.1179,131.107,150.0152,154.5571,149.6729,155.5264,117.2418,114.7011,148.6505,112.8364,1335.275
2024-01-01 14:00:00,176.6118,84.0816,73.86407,84.02054,88.35329,84.24816,87.43385,64.79888,63.21267,84.96764,64.53679,752.2133
2024-01-01 15:00:00,53.18819,26.86316,23.09217,26.39625,28.17847,26.68952,27.84727,17.50735,19.72333,27.05346,18.19259,224.8641
2024-01-01 16:00:00,44.21779,15.67115,13.0366,14.40501,15.55634,15.4199,15.67583,9.289166,11.00382,15.75552,7.406703,120.9847
2024-01-01 17:00:00,1.555242,0.1830419,0,0.1758297,0.2008025,0.1720203,0.2026304,0,0,0.0156939,0.0120155,-10.78212
2024-01-01 18:00:00,0,0,0,0,0,0,0,0,0,0,0,-10.01213
2024-01-01 19:00:00,0,0,0,0,0,0,0,0,0,0,0,-9.934669
2024-01-01 20:00:00,0,0,0,0,0,0,0,0,0,0,0,-9.935831
2024-01-01 21:00:00,0,0,0,0,0,0,0,0,0,0,0,-9.919971
2024-01-01 22:00:00,0,0,0,0,0,0,0,0,0,0,0,-10.00076
2024-01-01 23:00:00,0,0,0,0,0,0,0,0,0,0,0,-9.994444
2024-01-02 00:00:00,0,0,0,0,0,0,0,0,0,0,0,-10.0306
2024-01-02 01:00:00,0,0,0,0,0,0,0,0,0,0,0,-10.02791
2024-01-02 02:00:00,0,0,0,0,0,0,0,0,0,0,0,-9.969535
2024-01-02 03:00:00,0,0,0,0,0,0,0,0,0,0,0,-9.940787
2024-01-02 04:00:00,0,0,0,0,0,0,0,0,0,0,0,-9.944149
2024-01-02 05:00:00,0,0,0,0,0,0,0,0,0,0,0,-10.06049
2024-01-02 06:00:00,0,0,0,0,0,0,0,0,0,0,0,-9.970316
2024-01-02 07:00:00,20.25424,2.663224,1.47923,2.463854,2.306905,3.306818,2.602051,0.7458193,1.03847,3.596802,2.319499,11.59074
2024-01-02 08:00:00,287.6474,73.98779,62.79448,75.27384,84.51243,72.34725,67.16611,59.21173,44.12961,70.32074,51.14132,642.0165
2024-01-02 09:00:00,515.6185,290.3175,260.2319,295.9424,305.8539,288.227,303.2293,223.6636,220.946,297.2427,225.0555,2643.102
2024-01-02 10:00:00,688.9761,377.2393,341.1182,384.8882,393.1625,373.9381,392.3141,288.3115,285.6646,385.4019,291.3216,3403.098
2024-01-02 11:00:00,793.8337,425.2103,385.9498,434.5866,441.1619,421.382,440.4926,323.4308,320.5125,431.9239,326.0382,3808.368
2024-01-02 12:00:00,821.784,430.872,390.9687,439.3292,445.8115,428.0091,445.5369,327.5482,324.8164,437.5981,329.5106,3847.988
2024-01-02 13:00:00,773.5516,406.7343,368.0584,414.8685,420.6519,404.4701,419.8715,308.3604,305.4552,411.6571,309.6993,3625.96
