Monroe Moore Farm,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
Timestamp,POA*,"SMA 800 CP-US - A1, Pac","SMA 800 CP-US - A2, Pac","SMA 800 CP-US - B1, Pac","SMA 800 CP-US - B2, Pac","SMA 800 CP-US - C1, Pac","SMA 800 CP-US - C2, Pac",Production meter active power
,W/m²,kW,kW,kW,kW,kW,kW,kW
2024-04-01 00:00:00,0,0,0,0,0,0,0,-8.209023
2024-04-01 01:00:00,0,0,0,0,0,0,0,-8.214536
2024-04-01 02:00:00,0,0,0,0,0,0,0,-8.216171
2024-04-01 03:00:00,0,0,0,0,0,0,0,-8.245856
2024-04-01 04:00:00,0,0,0,0,0,0,0,-8.211801
2024-04-01 05:00:00,0,0,0,0,0,0,0,-8.12427
2024-04-01 06:00:00,0,0,0,0,0,0,0,-8.127041
2024-04-01 07:00:00,10.18423,3.682264,8.010076,4.257945,5.205149,4.11963,8.410804,25.93779
2024-04-01 08:00:00,50.92305,48.66672,48.77774,48.20562,45.00605,47.31803,51.54033,285.1559
2024-04-01 09:00:00,107.0762,102.6477,103.078,102.7457,95.14771,101.1314,108.6956,614.6541
2024-04-01 10:00:00,205.692,191.6928,192.2815,191.8392,178.1355,188.9418,203.1347,1154.995
2024-04-01 11:00:00,433.5626,398.5872,402.3951,391.0047,341.6964,381.0323,378.5623,2321.133
2024-04-01 12:00:00,618.77,554.2261,555.5054,555.3364,516.8455,547.8143,591.5197,3337.075
2024-04-01 13:00:00,735.1257,643.9537,649.2141,648.9894,600.8473,600.2455,686.3406,3834.687
2024-04-01 14:00:00,734.3658,641.6572,649.5081,646.591,600.2746,583.8405,683.1018,3803.973
2024-04-01 15:00:00,612.9262,529.2038,543.0605,536.7995,503.7369,490.3686,577.3693,3177.392
2024-04-01 16:00:00,355.2033,318.2603,320.7802,324.6481,300.7563,294.4926,344.5362,1905.68
2024-04-01 17:00:00,198.391,179.0581,180.7294,181.7852,168.3073,164.6844,191.8051,1070.492
2024-04-01 18:00:00,130.2057,104.2033,104.75,112.3748,105.5914,103.1033,119.5566,648.9626
2024-04-01 19:00:00,11.6893,10.88643,10.82619,11.21452,10.3882,10.19295,12.07231,57.82088
2024-04-01 20:00:00,0,0,0,0,0,0,0,-8.097605
2024-04-01 21:00:00,0,0,0,0,0,0,0,-8.028777
2024-04-01 22:00:00,0,0,0,0,0,0,0,-8.131558
2024-04-01 23:00:00,0,0,0,0,0,0,0,-8.177431
2024-04-02 00:00:00,0,0,0,0,0,0,0,-8.165745
2024-04-02 01:00:00,0,0,0,0,0,0,0,-8.123236
2024-04-02 02:00:00,0,0,0,0,0,0,0,-8.227155
2024-04-02 03:00:00,0,0,0,0,0,0,0,-8.271038
2024-04-02 04:00:00,0,0,0,0,0,0,0,-8.228282
2024-04-02 05:00:00,0,0,0,0,0,0,0,-8.142972
2024-04-02 06:00:00,0,0,0,0,0,0,0,-8.067361
2024-04-02 07:00:00,27.13576,21.25769,23.80673,20.81065,20.23927,21.1612,23.81978,124.5129
2024-04-02 08:00:00,127.7401,116.2866,114.6046,116.5507,108.7459,114.2156,122.8466,693.5471
2024-04-02 09:00:00,309.7823,275.8076,278.3114,279.0352,251.9845,269.9714,281.5665,1648.408
2024-04-02 10:00:00,400.4409,365.7219,394.895,360.5431,340.8228,357.2876,390.5465,2234.836
2024-04-02 11:00:00,843.4106,751.8677,706.4061,753.9603,687.5889,740.3542,748.8514,4357.259
2024-04-02 12:00:00,987.5554,807.7548,790.0093,805.5004,782.3773,799.4597,810.1254,4733.222
2024-04-02 13:00:00,920.1222,741.0341,739.0628,721.7767,709.3995,718.9384,758.3541,4380.715
2024-04-02 14:00:00,977.2482,822.1093,827.3075,823.8173,763.3459,820.0182,819.3502,4871.303
2024-04-02 15:00:00,824.3928,700.1236,722.3269,717.0739,663.3093,712.6304,760.4539,4269.066
2024-04-02 16:00:00,592.6295,498.763,504.1091,543.6962,507.3542,539.9078,583.4194,3112.433
2024-04-02 17:00:00,382.0685,305.331,303.682,337.498,313.6141,333.5393,362.0098,1966.251
2024-04-02 18:00:00,146.1264,103.0523,103.4513,117.1492,112.5602,119.2643,126.6808,679.5811
2024-04-02 19:00:00,13.0099,9.395024,8.957751,10.68582,10.17497,11.25405,12.15345,55.55188
2024-04-02 20:00:00,0,0,0,0,0,0,0,-7.958174
2024-04-02 21:00:00,0,0,0,0,0,0,0,-8.076915
2024-04-02 22:00:00,0,0,0,0,0,0,0,-8.096377
2024-04-02 23:00:00,0,0,0,0,0,0,0,-8.091502
2024-04-03 00:00:00,0,0,0,0,0,0,0,-8.101246
2024-04-03 01:00:00,0,0,0,0,0,0,0,-8.19959
2024-04-03 02:00:00,0,0,0,0,0,0,0,-8.178036
2024-04-03 03:00:00,0,0,0,0,0,0,0,-8.22957
2024-04-03 04:00:00,0,0,0,0,0,0,0,-8.28038
